,dsf_number_s_,final_estimate_of_actual_costs_through_end_of_phase_amount,project_budget_amount,project_building_identifier,project_description,project_geographic_district_,project_phase_actual_end_date,project_phase_actual_start_date,project_phase_name,project_phase_planned_end_date,project_school_name,project_status_name,project_type_,total_phase_actual_spending_amount,budget_label
149,DSF:,86491,DOEL,K029,LEAD PAINT ABATEMENT,15,2015-01-14 00:00:00,2014-06-23 00:00:00,Construction,2015-01-14 00:00:00,P.S. 29 - BROOKLYN,Complete,DOE - Lead Paint,86491,3
150,DSF: 0000801644,114910,DOES,K029,TOILETS - STUDENTS,15,2017-05-02 15:32:05.469136,2015-12-02 00:00:00,Construction,DOES,P.S. 29 - BROOKLYN,In-Progress,DOE - Skilled Trades,95289,3
151,DSF: 0000777395,65485,250000,K031,FY 14 RESO HOME ECON ROOM CONV,14,2015-05-15 00:00:00,2015-05-15 00:00:00,Construction,2015-05-15 00:00:00,P.S. 31 - BROOKLYN,Complete,DOE- RESOA,65485,2
152,DSF: 0000798403,3004,136180,K031,ELECTRICAL LIGHTING FIXTURES,14,2017-05-02 15:32:05.469136,2015-10-19 00:00:00,"CM, F&E",2016-07-14 00:00:00,P.S. 31 - BROOKLYN,In-Progress,RCT CIP,3004,1
153,DSF: 0000798403,645390,708755,K031,ELECTRICAL LIGHTING FIXTURES,14,2017-05-02 15:32:05.469136,2015-10-19 00:00:00,Construction,2016-07-14 00:00:00,P.S. 31 - BROOKLYN,In-Progress,RCT CIP,557,2
154,DSF: 0000798403,1078,52615,K031,ELECTRICAL LIGHTING FIXTURES,14,2015-07-20 00:00:00,2015-05-26 00:00:00,Design,2015-09-25 00:00:00,P.S. 31 - BROOKLYN,Complete,RCT CIP,1078,1
155,DSF: 0000798403,269,18570,K031,ELECTRICAL LIGHTING FIXTURES,14,2015-05-26 00:00:00,2015-05-26 00:00:00,Scope,2015-05-26 00:00:00,P.S. 31 - BROOKLYN,Complete,RCT CIP,269,0
158,"DSF: 0000778318, 0000821872",235705,235705,K031,EXTERIOR MASONRY/PARAPETS,14,2017-05-02 15:32:05.469136,2015-03-10 00:00:00,Design,2015-08-07 00:00:00,P.S. 31 - BROOKLYN,In-Progress,SCA CIP,20101,2
159,"DSF: 0000778318, 0000821872",94884,58926,K031,EXTERIOR MASONRY/PARAPETS,14,2014-11-26 00:00:00,2014-02-11 00:00:00,Scope,2014-06-26 00:00:00,P.S. 31 - BROOKLYN,Complete,SCA CIP,75264,1
160,DSF: 0000822132,137991,DOES,K032,TOILETS - STUDENTS,15,2017-05-02 15:32:05.469136,2015-07-15 00:00:00,Construction,DOES,P.S. 32 - BROOKLYN,In-Progress,DOE - Skilled Trades,131160,3
163,DSF: 0000798185,3581616,3581616,K032,ADDITION,15,2017-05-02 15:32:05.469136,2015-08-20 00:00:00,Design,2016-04-01 00:00:00,P.S. 32 ADDITION - BROOKLYN,In-Progress,SCA Capacity,148767,2
164,DSF: 0000798185,649833,1279149,K032,ADDITION,15,2015-08-19 00:00:00,2015-03-04 00:00:00,Scope,2015-08-18 00:00:00,P.S. 32 ADDITION - BROOKLYN,Complete,SCA Capacity,637253,2
165,DSF: 0000822133,108926,DOES,K033,TOILETS - STUDENTS,14,2017-05-02 15:32:05.469136,2015-06-17 00:00:00,Construction,DOES,I.S. 330 - BROOKLYN,In-Progress,DOE - Skilled Trades,1650,3
166,"DSF: 0000777709, 0000778354, 0000821682",63928,123405,K033,KITCHEN FLOORING/FLOOD/ANSUL SYSTEM,14,2017-05-02 15:32:05.469136,2015-07-20 00:00:00,"CM, F&E",2016-07-18 00:00:00,I.S. 330 - BROOKLYN,In-Progress,SCA CIP,63928,1
167,"DSF: 0000777709, 0000778354, 0000821682",1466338,1577271,K033,KITCHEN FLOORING/FLOOD/ANSUL SYSTEM,14,2017-05-02 15:32:05.469136,2015-07-20 00:00:00,Construction,2016-07-18 00:00:00,I.S. 330 - BROOKLYN,In-Progress,SCA CIP,348149,2
168,"DSF: 0000777709, 0000778354, 0000821682",136733,88186,K033,KITCHEN FLOORING/FLOOD/ANSUL SYSTEM,14,2015-04-24 00:00:00,2014-04-10 00:00:00,Design,2014-09-10 00:00:00,I.S. 330 - BROOKLYN,Complete,SCA CIP,104543,1
169,"DSF: 0000777709, 0000778354, 0000821682",17992,23533,K033,KITCHEN FLOORING/FLOOD/ANSUL SYSTEM,14,2014-03-26 00:00:00,2013-10-31 00:00:00,Scope,2014-03-05 00:00:00,I.S. 330 - BROOKLYN,Complete,SCA CIP,17992,0
170,DSF: 0000776675,DIIT,DIIT,K034,CLASSROOM CONNECTIVITY,14,2015-10-23 00:00:00,2015-07-01 00:00:00,Purch & Install,2016-07-01 00:00:00,P.S. 34 - BROOKLYN,Complete,DIIT - Project Conne,0,3
171,DSF: 0000798668,180000,120000,K034,FY14 RESO A PLAYGROUND REDEVELOPMENT,14,2017-05-02 15:32:05.469136,2015-09-22 00:00:00,Construction,DOER,P.S. 34 - BROOKLYN,In-Progress,DOE- RESOA,177713,1
172,DSF: 0000801718,148172,DOES,K034,TOILETS - STUDENTS,14,2017-05-02 15:32:05.469136,2015-12-30 00:00:00,Construction,DOES,P.S. 34 - BROOKLYN,In-Progress,DOE - Skilled Trades,53476,3
177,DSF: 0000801712,34439,82161,K034,FIRE ALRAM SYSTEM REPLACEMENT,14,2015-11-03 00:00:00,2015-04-29 00:00:00,Design,2015-10-30 00:00:00,P.S. 34 - BROOKLYN,Complete,SCA CIP,4195,1
179,"DSF: 0000798250, 0000798252",11570,93357,K034,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,14,2015-12-23 00:00:00,2015-10-13 00:00:00,Scope,2016-03-17 00:00:00,P.S. 34 - BROOKLYN,Complete,SCA CIP,11570,1
180,DSF: 0000801712,11130,28998,K034,FIRE ALRAM SYSTEM REPLACEMENT,14,2015-03-13 00:00:00,2015-02-03 00:00:00,Scope,2015-05-04 00:00:00,P.S. 34 - BROOKLYN,Complete,SCA CIP,1049,0
181,DSF:,47180,DOEL,K035,LEAD PAINT ABATEMENT,16,2015-02-09 00:00:00,2014-10-24 00:00:00,Construction,2015-02-09 00:00:00,I.S. 35 - BROOKLYN,Complete,DOE - Lead Paint,47180,3
182,DSF: 0000799537,31534,49474,K035,ELECTRICAL LIGHTING FIXTURES,16,2015-11-04 00:00:00,2015-09-07 00:00:00,"CM, F&E",2016-04-03 00:00:00,I.S. 35 - BROOKLYN,Complete,RCT CIP,13260,0
183,DSF: 0000799537,237135,257492,K035,ELECTRICAL LIGHTING FIXTURES,16,2015-11-04 00:00:00,2015-09-07 00:00:00,Construction,2016-04-03 00:00:00,I.S. 35 - BROOKLYN,Complete,RCT CIP,10003,2
184,DSF: 0000799537,6724,19115,K035,ELECTRICAL LIGHTING FIXTURES,16,2015-05-15 00:00:00,2014-12-15 00:00:00,Design,2015-04-16 00:00:00,I.S. 35 - BROOKLYN,Complete,RCT CIP,724,0
185,DSF: 0000799537,6254,6747,K035,ELECTRICAL LIGHTING FIXTURES,16,2014-12-15 00:00:00,2014-10-22 00:00:00,Scope,2014-12-24 00:00:00,I.S. 35 - BROOKLYN,Complete,RCT CIP,254,0
187,"DSF: 0000755922, 0000755923, 0000778396",166575,665191,K035,ROOFS/EXT MASONRY/PARAPETS,16,2017-05-02 15:32:05.469136,2014-04-14 00:00:00,"CM, F&E",2015-10-05 00:00:00,I.S. 35 - BROOKLYN,In-Progress,SCA CIP,166532,2
189,"DSF: 0000755922, 0000755923, 0000778396",7582572,8388785,K035,ROOFS/EXT MASONRY/PARAPETS,16,2017-05-02 15:32:05.469136,2014-04-14 00:00:00,Construction,2015-10-05 00:00:00,I.S. 35 - BROOKLYN,In-Progress,SCA CIP,5355442,3
191,"DSF: 0000755922, 0000755923, 0000778396",272430,517371,K035,ROOFS/EXT MASONRY/PARAPETS,16,2014-01-29 00:00:00,2013-09-27 00:00:00,Design,2014-03-05 00:00:00,I.S. 35 - BROOKLYN,Complete,SCA CIP,272430,2
192,DSF: 0000822095,82677,82677,K035,FULL PROGRAM ACCESSIBILITY,16,2017-05-02 15:32:05.469136,2015-06-17 00:00:00,Scope,2015-11-02 00:00:00,I.S. 35 - BROOKLYN,In-Progress,SCA CIP,0,1
193,"DSF: 0000755922, 0000755923, 0000778396",100753,147820,K035,ROOFS/EXT MASONRY/PARAPETS,16,2013-08-29 00:00:00,2013-07-17 00:00:00,Scope,2013-12-03 00:00:00,I.S. 35 - BROOKLYN,Complete,SCA CIP,100753,1
195,DSF: 0000822134,112314,DOES,K038,TOILETS - STUDENTS,15,2017-05-02 15:32:05.469136,2015-07-15 00:00:00,Construction,DOES,P.S. 38 - BROOKLYN,In-Progress,DOE - Skilled Trades,101146,3
196,DSF: 0000799682,12937,18891,K038,ELECTRICAL LIGHTING FIXTURES,15,2017-05-02 15:32:05.469136,2015-07-01 00:00:00,"CM, F&E",2016-01-26 00:00:00,P.S. 38 - BROOKLYN,In-Progress,RCT CIP,10954,0
197,DSF: 0000799682,96995,98317,K038,ELECTRICAL LIGHTING FIXTURES,15,2017-05-02 15:32:05.469136,2015-07-01 00:00:00,Construction,2016-01-26 00:00:00,P.S. 38 - BROOKLYN,In-Progress,RCT CIP,1657,1
198,DSF: 0000799682,20390,7299,K038,ELECTRICAL LIGHTING FIXTURES,15,2015-05-06 00:00:00,2014-12-11 00:00:00,Design,2015-04-14 00:00:00,P.S. 38 - BROOKLYN,Complete,RCT CIP,15513,0
199,DSF: 0000799682,6290,2576,K038,ELECTRICAL LIGHTING FIXTURES,15,2014-12-11 00:00:00,2014-10-17 00:00:00,Scope,2014-12-19 00:00:00,P.S. 38 - BROOKLYN,Complete,RCT CIP,6290,0
204,DSF: 0000776310,164632,DIIX,K039,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEMS,15,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,P.S. 39 - BROOKLYN,In-Progress,DIIT - PBX Telephone,0,3
207,DSF: 0000798405,1067,15045,K039,ELECTRICAL LIGHTING FIXTURES,15,2015-09-23 00:00:00,2015-07-06 00:00:00,Design,2015-11-06 00:00:00,P.S. 39 - BROOKLYN,Complete,RCT CIP,1067,0
208,DSF: 0000798405,384,5310,K039,ELECTRICAL LIGHTING FIXTURES,15,2015-07-06 00:00:00,2015-07-06 00:00:00,Scope,2015-07-06 00:00:00,P.S. 39 - BROOKLYN,Complete,RCT CIP,384,0
209,"DSF: 0000755959, 0000755961",532689,272080,K039,FLOOD ELIMINATION/PAVED AREAS CONCRETE,15,2015-09-08 00:00:00,2014-05-12 00:00:00,"CM, F&E",2015-03-07 00:00:00,P.S. 39 - BROOKLYN,Complete,SCA CIP,512555,2
210,"DSF: 0000755959, 0000755961",2728763,2163720,K039,FLOOD ELIMINATION/PAVED AREAS CONCRETE,15,2015-09-08 00:00:00,2014-05-12 00:00:00,Construction,2015-03-07 00:00:00,P.S. 39 - BROOKLYN,Complete,SCA CIP,2245744,2
211,"DSF: 0000755959, 0000755961",223694,147440,K039,FLOOD ELIMINATION/PAVED AREAS CONCRETE,15,2014-02-24 00:00:00,2014-01-14 00:00:00,Design,2014-06-16 00:00:00,P.S. 39 - BROOKLYN,Complete,SCA CIP,152617,1
212,"DSF: 0000755959, 0000755961",58121,45220,K039,FLOOD ELIMINATION/PAVED AREAS CONCRETE,15,2014-01-14 00:00:00,2013-08-26 00:00:00,Scope,2014-01-14 00:00:00,P.S. 39 - BROOKLYN,Complete,SCA CIP,57888,0
213,DSF: 0000776681,176804,DIIT,K040,CLASSROOM CONNECTIVITY,16,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,GOTHAM PROFESSIONAL ARTS ACAD,In-Progress,DIIT - Project Conne,0,3
214,DSF: 0000776680,176804,DIIT,K040,CLASSROOM CONNECTIVITY,16,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,P.S. 40 - BROOKLYN,In-Progress,DIIT - Project Conne,0,3
216,DSF: 0000799683,7688,4697,K040,ELECTRICAL LIGHTING FIXTURES,16,2017-05-02 15:32:05.469136,2015-07-13 00:00:00,"CM, F&E",2016-02-07 00:00:00,P.S. 40 - BROOKLYN,In-Progress,RCT CIP,7688,0
217,DSF: 0000799683,35940,24446,K040,ELECTRICAL LIGHTING FIXTURES,16,2017-05-02 15:32:05.469136,2015-07-13 00:00:00,Construction,2016-02-07 00:00:00,P.S. 40 - BROOKLYN,In-Progress,RCT CIP,12264,0
218,DSF: 0000799683,85,1815,K040,ELECTRICAL LIGHTING FIXTURES,16,2015-05-12 00:00:00,2014-12-15 00:00:00,Design,2015-04-16 00:00:00,P.S. 40 - BROOKLYN,Complete,RCT CIP,85,0
219,DSF: 0000799683,6094,641,K040,ELECTRICAL LIGHTING FIXTURES,16,2014-12-15 00:00:00,2014-10-22 00:00:00,Scope,2014-12-24 00:00:00,P.S. 40 - BROOKLYN,Complete,RCT CIP,94,0
224,DSF: 0000776233,164632,DIIX,K041,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEMS,23,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,P.S. 41 - BROOKLYN,In-Progress,DIIT - PBX Telephone,0,3
225,DSF: 0000801810,119890,DOES,K041,TOILETS - STUDENTS,23,2017-05-02 15:32:05.469136,2015-05-21 00:00:00,Construction,DOES,P.S. 41 - BROOKLYN,In-Progress,DOE - Skilled Trades,119890,3
226,DSF: 0000776032,300000,DOES,K041,CTF BIRTH TO 5 INNER COURTYRD/PLAYG,23,2014-06-18 00:00:00,2013-07-01 00:00:00,Construction,2014-06-18 00:00:00,P.S. 41 - BROOKLYN,Complete,DOE - Skilled Trades,171339,3
227,DSF: 0000775935,6000422,DOES,K041,CTF-ROOM CONVERSION,23,2015-09-16 00:00:00,2014-10-16 00:00:00,Construction,2015-09-16 00:00:00,P.S. 41 - BROOKLYN,Complete,DOE - Skilled Trades,4993373,3
228,DSF: 0000822024,161727,250000,K042,PRE-K CENTER PHASE 1 DSF,22,2015-12-10 00:00:00,2015-05-06 00:00:00,Construction,2015-08-03 00:00:00,PRE-K CENTER @ 3610 GLENWOOD,Complete,DOE Managed PREK,30199,2
229,DSF: 0000822024,0,0,K042,PRE-K CENTER PHASE 1 DSF,22,2015-03-23 00:00:00,2015-03-16 00:00:00,Scope,2015-03-27 00:00:00,PRE-K CENTER @ 3610 GLENWOOD,Complete,DOE Managed PREK,0,0
230,DSF: 0000821812,28708,1101443,K042,LEASE,22,2017-05-02 15:32:05.469136,2015-12-21 00:00:00,"CM, F&E",2016-12-19 00:00:00,PRE-K CENTER @ 3610 GLENWOOD,In-Progress,PRE-K,26885,2
231,DSF: 0000821812,10696668,11748720,K042,LEASE,22,2017-05-02 15:32:05.469136,2015-12-21 00:00:00,Construction,2016-12-19 00:00:00,PRE-K CENTER @ 3610 GLENWOOD,In-Progress,PRE-K,47713,3
232,DSF: 0000821812,401867,734295,K042,LEASE,22,2015-09-15 00:00:00,2015-03-24 00:00:00,Design,2015-08-03 00:00:00,PRE-K CENTER @ 3610 GLENWOOD,Complete,PRE-K,41180,2
233,DSF: 0000821812,139980,183574,K042,LEASE,22,2015-03-23 00:00:00,2015-03-16 00:00:00,Scope,2015-03-23 00:00:00,PRE-K CENTER @ 3610 GLENWOOD,Complete,PRE-K,135980,1
235,DSF: 0000777396,240000,250000,K043,FY 14 RESO A ELECTRICAL UPGRADE,21,2017-05-02 15:32:05.469136,2014-05-05 00:00:00,Construction,DOER,I.S. 98 - BROOKLYN,In-Progress,DOE- RESOA,204485,2
236,DSF: 0000822141,97194,DOES,K043,TOILETS - STUDENTS,21,2017-05-02 15:32:05.469136,2015-09-23 00:00:00,Construction,DOES,I.S. 98 - BROOKLYN,In-Progress,DOE - Skilled Trades,1654,3
237,DSF: 0000821587,49738,DOES,K043,NON SANDY STAGE RIGGING,21,2017-05-02 15:32:05.469136,2014-11-08 00:00:00,Construction,DOES,I.S. 98 - BROOKLYN,In-Progress,DOE - Skilled Trades,0,3
238,DSF: 0000023485,1547509,FTK,K043,EMERGENCY PROTECTIVE MEASURES - HURRICANE SANDY,21,2017-05-02 15:32:05.469136,2012-10-31 00:00:00,Construction,FTK,I.S. 98 - BROOKLYN,In-Progress,Fast Track Projects,1475216,3
239,DSF: 0000778485,139317,107870,K043,ELECTRICAL LIGHTING FIXTURES,21,2015-09-10 00:00:00,2014-12-15 00:00:00,"CM, F&E",2015-09-10 00:00:00,I.S. 98 - BROOKLYN,Complete,RCT CIP,139317,1
240,DSF: 0000778485,1631010,1733625,K043,ELECTRICAL LIGHTING FIXTURES,21,2015-09-10 00:00:00,2014-12-15 00:00:00,Construction,2015-09-10 00:00:00,I.S. 98 - BROOKLYN,Complete,RCT CIP,1515298,2
241,DSF: 0000778485,26031,92460,K043,ELECTRICAL LIGHTING FIXTURES,21,2014-08-13 00:00:00,2014-06-05 00:00:00,Design,2014-10-06 00:00:00,I.S. 98 - BROOKLYN,Complete,RCT CIP,26031,1
242,DSF: 0000778485,7920,23115,K043,ELECTRICAL LIGHTING FIXTURES,21,2014-06-05 00:00:00,2014-06-05 00:00:00,Scope,2014-06-05 00:00:00,I.S. 98 - BROOKLYN,Complete,RCT CIP,7920,0
243,"DSF: 0000778487, 0000778489, 0000799431, 0000799432, 0000799458, 0000799906",373246,1407212,K043,INTERIOR/CLIMATE/AUDITORIUM/HEATING/FLOOD/FIRE ALA,21,2017-05-02 15:32:05.469136,2015-02-17 00:00:00,"CM, F&E",2017-02-15 00:00:00,I.S. 98 - BROOKLYN,In-Progress,SCA CIP,373246,2
244,"DSF: 0000778487, 0000778489, 0000799431, 0000799432, 0000799458, 0000799906",19890273,21936436,K043,INTERIOR/CLIMATE/AUDITORIUM/HEATING/FLOOD/FIRE ALA,21,2017-05-02 15:32:05.469136,2015-02-17 00:00:00,Construction,2017-02-15 00:00:00,I.S. 98 - BROOKLYN,In-Progress,SCA CIP,3400043,3
245,"DSF: 0000778487, 0000778489, 0000799431, 0000799432, 0000799458, 0000799906",700295,1176745,K043,INTERIOR/CLIMATE/AUDITORIUM/HEATING/FLOOD/FIRE ALA,21,2014-08-27 00:00:00,2014-03-31 00:00:00,Design,2014-09-30 00:00:00,I.S. 98 - BROOKLYN,Complete,SCA CIP,590561,2
246,"DSF: 0000778487, 0000778489, 0000799431, 0000799432, 0000799458, 0000799906",175118,296673,K043,INTERIOR/CLIMATE/AUDITORIUM/HEATING/FLOOD/FIRE ALA,21,2014-03-31 00:00:00,2014-02-05 00:00:00,Scope,2014-07-08 00:00:00,I.S. 98 - BROOKLYN,Complete,SCA CIP,175118,2
247,DSF: 0000776234,216201,DIIX,K044,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEMS,13,2015-10-28 00:00:00,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,P.S. 44 - BROOKLYN,Complete,DIIT - PBX Telephone,216201,3
248,DSF: 0000756027,82723,182380,K044,ELECTRICAL LIGHTING FIXTURES,13,2015-09-02 00:00:00,2015-01-06 00:00:00,"CM, F&E",2015-09-02 00:00:00,P.S. 44 - BROOKLYN,Complete,RCT CIP,82723,1
249,DSF: 0000756027,873684,949205,K044,ELECTRICAL LIGHTING FIXTURES,13,2015-09-02 00:00:00,2015-01-06 00:00:00,Construction,2015-09-02 00:00:00,P.S. 44 - BROOKLYN,Complete,RCT CIP,787694,2
250,DSF: 0000756027,21946,70465,K044,ELECTRICAL LIGHTING FIXTURES,13,2014-07-11 00:00:00,2014-05-06 00:00:00,Design,2014-09-05 00:00:00,P.S. 44 - BROOKLYN,Complete,RCT CIP,21946,1
251,DSF: 0000756027,4130,24870,K044,ELECTRICAL LIGHTING FIXTURES,13,2014-05-06 00:00:00,2014-05-06 00:00:00,Scope,2014-05-06 00:00:00,P.S. 44 - BROOKLYN,Complete,RCT CIP,4130,0
254,DSF: 0000756032,115783,217350,K044,ELECTRICAL FEEDER PANEL REPLACEMENT,13,2017-05-02 15:32:05.469136,2014-04-15 00:00:00,"CM, F&E",2015-04-14 00:00:00,P.S. 44 - BROOKLYN,In-Progress,SCA CIP,102911,2
255,DSF: 0000756032,1345566,1082025,K044,ELECTRICAL FEEDER PANEL REPLACEMENT,13,2017-05-02 15:32:05.469136,2014-04-15 00:00:00,Construction,2015-04-14 00:00:00,P.S. 44 - BROOKLYN,In-Progress,SCA CIP,637485,2
258,"DSF: 0000710245, 0000710254",234585,338280,K044,PLANYC BOILER/PLANYC CLIMATE CTRL,13,2011-07-13 00:00:00,2011-01-31 00:00:00,Design,2011-06-30 00:00:00,P.S. 44 - BROOKLYN,Complete,SCA CIP,228585,2
259,DSF: 0000756032,94122,85050,K044,ELECTRICAL FEEDER PANEL REPLACEMENT,13,2013-12-18 00:00:00,2013-08-14 00:00:00,Design,2014-01-17 00:00:00,P.S. 44 - BROOKLYN,Complete,SCA CIP,81250,1
260,DSF: 0000801839,13456,59523,K044,FIRE ALARM,13,2015-11-19 00:00:00,2015-09-09 00:00:00,Design,2016-03-16 00:00:00,P.S. 44 - BROOKLYN,Complete,SCA CIP,13456,1
261,DSF: 0000801839,2882,21008,K044,FIRE ALARM,13,2015-08-28 00:00:00,2015-08-17 00:00:00,Scope,2015-11-17 00:00:00,P.S. 44 - BROOKLYN,Complete,SCA CIP,2882,0
262,"DSF: 0000710245, 0000710254",91798,84570,K044,PLANYC BOILER/PLANYC CLIMATE CTRL,13,2011-01-25 00:00:00,2010-11-02 00:00:00,Scope,2011-04-07 00:00:00,P.S. 44 - BROOKLYN,Complete,SCA CIP,86706,1
263,DSF: 0000756032,20246,28350,K044,ELECTRICAL FEEDER PANEL REPLACEMENT,13,2013-07-03 00:00:00,2013-05-16 00:00:00,Scope,2013-09-17 00:00:00,P.S. 44 - BROOKLYN,Complete,SCA CIP,4100,0
266,DSF: 0000754616,57026,47040,K044,FY13 RESO A SCIENCE LAB UPGRADES,13,2015-03-12 00:00:00,2014-10-31 00:00:00,Design,2015-04-07 00:00:00,P.S. 44 - BROOKLYN,Complete,SCA CIP RESOA,53707,0
267,DSF: 0000754616,16859,0,K044,FY13 RESO A SCIENCE LAB UPGRADES,13,2013-02-28 00:00:00,2012-12-07 00:00:00,Scope,2013-01-28 00:00:00,P.S. 44 - BROOKLYN,Complete,SCA CIP RESOA,16859,0
269,DSF: 0000778533,86762,DOES,K045,BATHROOM UPGRADE ROOMS 317 AND 313,32,2017-05-02 15:32:05.469136,2015-08-14 00:00:00,Construction,DOES,P.S. 45 - BROOKLYN,In-Progress,DOE - Skilled Trades,86762,3
270,DSF: 0000798385,76293,114400,K045,ELECTRICAL LIGHTING FIXTURES,32,2015-10-30 00:00:00,2015-03-23 00:00:00,"CM, F&E",2015-12-17 00:00:00,P.S. 45 - BROOKLYN,Complete,RCT CIP,74242,1
271,DSF: 0000798385,578501,595400,K045,ELECTRICAL LIGHTING FIXTURES,32,2015-10-30 00:00:00,2015-03-23 00:00:00,Construction,2015-12-17 00:00:00,P.S. 45 - BROOKLYN,Complete,RCT CIP,517666,2
272,DSF: 0000798385,13892,44200,K045,ELECTRICAL LIGHTING FIXTURES,32,2014-12-17 00:00:00,2014-10-10 00:00:00,Design,2015-02-10 00:00:00,P.S. 45 - BROOKLYN,Complete,RCT CIP,13892,0
273,DSF: 0000798385,2610,15600,K045,ELECTRICAL LIGHTING FIXTURES,32,2014-10-10 00:00:00,2014-10-10 00:00:00,Scope,2014-10-10 00:00:00,P.S. 45 - BROOKLYN,Complete,RCT CIP,2610,0
275,DSF: 0000776103,45087,DOES,K046,PLANYC OIL CONVERSION PROJECT,13,2017-05-02 15:32:05.469136,2013-04-04 00:00:00,Construction,DOES,P.S. 46 - BROOKLYN,In-Progress,DOE - Skilled Trades,39830,3
278,DSF: 0000821818,21056,21056,K046,AUDITORIUM UPGRADE,13,2017-05-02 15:32:05.469136,2015-10-14 00:00:00,Design,2016-03-18 00:00:00,P.S. 46 - BROOKLYN,In-Progress,SCA CIP,7335,0
279,DSF: 0000821818,1834,7431,K046,AUDITORIUM UPGRADE,13,2015-09-25 00:00:00,2015-05-12 00:00:00,Scope,2015-09-11 00:00:00,P.S. 46 - BROOKLYN,Complete,SCA CIP,1834,0
280,DSF: 0000776688,364271,DIIT,K048,CLASSROOM CONNECTIVITY,20,2015-11-13 00:00:00,2015-07-01 00:00:00,Purch & Install,2016-07-01 00:00:00,P.S. 48 - BROOKLYN,Complete,DIIT - Project Conne,364271,3
281,DSF: 0000778569,150332,DOES,K048,BATHROOM UPGRADE EAST AND WEST SIDE,20,2017-05-02 15:32:05.469136,2015-12-02 00:00:00,Construction,DOES,P.S. 48 - BROOKLYN,In-Progress,DOE - Skilled Trades,150332,3
282,DSF: 0000778562,24131,130680,K048,ELECTRICAL LIGHTING FIXTURES,20,2015-11-03 00:00:00,2015-03-09 00:00:00,"CM, F&E",2015-12-03 00:00:00,P.S. 48 - BROOKLYN,Complete,RCT CIP,24131,1
283,DSF: 0000778562,644424,680130,K048,ELECTRICAL LIGHTING FIXTURES,20,2015-11-03 00:00:00,2015-03-09 00:00:00,Construction,2015-12-03 00:00:00,P.S. 48 - BROOKLYN,Complete,RCT CIP,623424,2
284,DSF: 0000778562,84084,50490,K048,ELECTRICAL LIGHTING FIXTURES,20,2014-12-01 00:00:00,2014-10-10 00:00:00,Design,2015-02-10 00:00:00,P.S. 48 - BROOKLYN,Complete,RCT CIP,84084,1
285,DSF: 0000778562,13885,17820,K048,ELECTRICAL LIGHTING FIXTURES,20,2014-10-10 00:00:00,2014-10-10 00:00:00,Scope,2014-10-10 00:00:00,P.S. 48 - BROOKLYN,Complete,RCT CIP,13885,0
290,"DSF: 0000778565, 0000778566",22435,453442,K048,EXTERIOR MASONRY/WINDOWS,20,2015-10-21 00:00:00,2015-02-27 00:00:00,Design,2015-07-29 00:00:00,P.S. 48 - BROOKLYN,Complete,SCA CIP,22435,2
291,DSF: 0000756089,62660,58011,K048,FLOOD ELIMINATION,20,2014-12-08 00:00:00,2014-07-09 00:00:00,Design,2014-12-10 00:00:00,P.S. 48 - BROOKLYN,Complete,SCA CIP,61521,1
292,DSF: 0000756089,45515,20474,K048,FLOOD ELIMINATION,20,2013-09-18 00:00:00,2013-05-01 00:00:00,Scope,2013-09-16 00:00:00,P.S. 48 - BROOKLYN,Complete,SCA CIP,45075,0
293,"DSF: 0000778565, 0000778566",52815,113360,K048,EXTERIOR MASONRY/WINDOWS,20,2015-01-07 00:00:00,2014-09-18 00:00:00,Scope,2015-02-06 00:00:00,P.S. 48 - BROOKLYN,Complete,SCA CIP,17729,1
294,"DSF: 0000733307, 0000756105, 0000756107, 0000756109, 0000775792",948962,796770,K049,PARAPETS/FLOOD ELIMINATION/ROOFS/MASONRY/GYM UPG,14,2017-05-02 15:32:05.469136,2014-04-14 00:00:00,"CM, F&E",2015-10-05 00:00:00,I.S. 49,In-Progress,SCA CIP,932903,2
295,"DSF: 0000733307, 0000756105, 0000756107, 0000756109, 0000775792",9043636,10048156,K049,PARAPETS/FLOOD ELIMINATION/ROOFS/MASONRY/GYM UPG,14,2017-05-02 15:32:05.469136,2014-04-14 00:00:00,Construction,2015-10-05 00:00:00,I.S. 49,In-Progress,SCA CIP,4506447,3
296,"DSF: 0000733307, 0000756105, 0000756107, 0000756109, 0000775792",568928,619710,K049,PARAPETS/FLOOD ELIMINATION/ROOFS/MASONRY/GYM UPG,14,2013-08-20 00:00:00,2013-05-08 00:00:00,Design,2013-09-23 00:00:00,I.S. 49,Complete,SCA CIP,547637,2
